%time,field.left_wheel,field.right_wheel
1304221324947933912,3.89613842964,3.89613842964
1304221324987822055,3.76597857475,3.76597857475
1304221325033523082,3.58004593849,3.58004593849
1304221325071959018,3.44260597229,3.77047324181
1304221325108583927,4.10796928406,3.93680381775
1304221325152369976,3.7270617485,3.87041020393
1304221325191931009,3.82502889633,3.82502889633
1304221325231915950,3.76165246964,3.76165246964
1304221325279553890,3.17025566101,3.43444347382
1304221325319885015,3.74222183228,3.74222183228
1304221325351974010,4.70075273514,4.30902338028
1304221325391933917,3.77319216728,3.77319216728
1304221325431219100,3.35435509682,3.51408648491
1304221325471894979,3.70185208321,4.01033973694
1304221325513032913,3.98089385033,3.98089385033
1304221325551893949,3.87830877304,3.87830877304
1304221325587954044,3.83186769485,3.65769195557
1304221325627865076,3.61185503006,3.76889228821
1304221325667804956,3.77817797661,3.77817797661
1304221325707235097,3.83271813393,3.83271813393
1304221325747837066,3.85822796822,3.70389890671
1304221325787831068,3.76784396172,3.76784396172
1304221325827831983,3.92503452301,3.76803326607
1304221325871915102,3.71759057045,3.86057496071
1304221325907527923,3.87020587921,3.87020587921
1304221325951853990,3.40344834328,3.82887935638
1304221325988018035,4.1766204834,3.82856869698
1304221326027887105,3.77557396889,3.77557396889
1304221326076025009,3.53261995316,3.53261995316
1304221326112611055,4.28768253326,4.11617517471
1304221326151884078,3.84310078621,3.84310078621
1304221326191782951,3.92564845085,3.7686226368
1304221326231977939,3.76443052292,3.76443052292
1304221326268074989,4.35336351395,4.0050945282
1304221326315846920,3.14612531662,3.27721405029
1304221326351918935,3.8492193222,4.1991481781
1304221326388015031,4.15996217728,3.98663020134
1304221326427161931,3.85568857193,4.01634216309
1304221326473361015,3.67249441147,3.67249441147
1304221326511805057,3.60035467148,3.60035467148
1304221326551928043,4.23501777649,3.92131257057
1304221326587960004,3.65507650375,3.82912755013
1304221326627888917,3.7704937458,3.7704937458
1304221326667838096,3.77354288101,3.61631202698
1304221326707968950,3.77246594429,3.77246594429
1304221326747978925,3.76752543449,3.76752543449
1304221326787967920,3.59883928299,3.75531053543
1304221326828921079,3.69654726982,3.69654726982
